learning_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preparing_screen.started,text_4.started,text_4.stopped,preparing_screen.stopped,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,pre_section.started,pre_section.stopped,seqreport_instruction.started,seqreport_instruction_text.started,seqreport_instruction.stopped,seqreport.started,seq_report_key.started,seqreport.stopped,seq_report_key.keys,seq_report_key.rt,seq_report_key.duration,seqarrow.started,arrow_report.started,seqarrow.stopped,arrow_report.stopped,section_pause.started,section_pause_text.started,section_pause.stopped,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,8,0,8,0,29.649883500067517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63385819992982,29.649883500067517,29.867203200003132,2,0.2003458000253886,None,29.867483800044283,29.88360399985686,30.867607400054112,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,9,0,9,0,30.88414129987359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.86789230001159,30.88414129987359,30.96880550007336,4,0.07905459986068308,None,30.96908969990909,30.98420750000514,31.96894759987481,31.984917300054803,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,10,0,10,0,31.984917300054803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.969199100043625,31.984917300054803,32.51906870002858,3,0.5218772999942303,None,32.51944369985722,32.53534210007638,33.51968130003661,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_00.csv,,,,,,,,,0,0,0,0,,,,,11,0,11,0,33.53628979995847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.52002110006288,33.53628979995847,33.73711559991352,2,0.1860380000434816,None,33.73739650007337,33.753232300048694,34.73768529994413,34.75395919987932,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,0,0,0,0,36.75560360006057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73859389987774,35.73889070004225,35.743456800002605,35.75480489991605,36.73910310002975,36.73966560000554,36.75560360006057,38.525847000069916,4,1.7667758001480252,None,38.526239699916914,38.54022069997154,39.525115999858826,39.54114539991133,34.737755300011486,34.75395919987932,35.738282500067726,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,1,0,1,0,39.54114539991133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.52538789995015,39.54114539991133,39.67779459990561,3,0.13364800019189715,None,39.678057099925354,39.69139789999463,40.675698899896815,40.69212069991045,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,2,0,2,0,40.69212069991045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.67606319999322,40.69212069991045,40.976230799918994,2,0.2699921999592334,None,40.97659239987843,40.992235800018534,41.97695649997331,41.99324620002881,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,3,0,3,0,41.99324620002881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.977209999924526,41.99324620002881,42.24405290000141,1,0.24164830008521676,None,42.24432389996946,42.260055999970064,43.24447949999012,,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,4,0,4,0,43.26092349993996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.24476010003127,43.26092349993996,43.663511499995366,4,0.39764259988442063,None,43.66379899997264,43.67797199985944,44.66259209997952,44.67865559994243,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,5,0,5,0,44.67865559994243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.662841599900275,44.67865559994243,44.86410630005412,3,0.17990890005603433,None,44.864378799917176,44.879011099925265,45.863633499946445,45.879664700012654,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
sequences/637201_learning_sequence_01.csv,,,,,,,,,0,1,1,1,,,,,6,0,6,0,45.879664700012654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.86388359987177,45.879664700012654,46.13069700007327,2,0.23446780000813305,None,46.130969299934804,46.14673769986257,47.13132579997182,47.14735049987212,,,,637201,001,percept,1,2024-07-22_19h56.19.451,ASRT_percept,2023.2.3,59.61532611856824,2024-07-22 19h56.39.077250 +0800,
,,,,,,,,,,,,,,,,,,,,,47.14735049987212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.13160079997033,47.14735049987212,47.39898979989812,1,0.24675699998624623,None,47.39925660006702,47.41455879993737,,,,,,,,,,,,,,,
