initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_practice.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_practice.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002228300000069794,0.05593269999997119,0.05593269999997119,0.05593269999997119,45.40458950000004,space,45.33331440000006,None,,,,,,,,,,,,,,,,,,,,,,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,3,270,3,1,red,0,0,0,0,0,0,0,0,45.45526080000002,,,,,,,,,,45.42361760000006,45.42410659999996,45.45060939999996,45.45526080000002,45.45526080000002,45.667796599999974,46.43423519999999,None,0,46.43473779999999,46.46369600000003,46.46369600000003,46.95089759999996,47.45095070000002,47.43474390000006,47.43476580000004,47.45095070000002,48.15110720000007,48.13487420000001,,,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,2,180,2,2,red,0,0,0,0,0,1,1,1,48.15110720000007,,,,,,,,,,,,48.13512739999999,48.15110720000007,48.15110720000007,48.35072249999996,48.767934999999966,2,1,48.76847870000006,48.7839831,48.7839831,49.28402600000004,49.784128500000065,49.76818639999999,49.76821589999997,49.784128500000065,50.48414279999997,50.46823570000004,0.6108385999999655,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,3,270,3,1,red,0,0,0,0,0,2,2,2,50.48414279999997,,,,,,,,,,,,50.468794600000024,50.48414279999997,50.48414279999997,50.68406870000001,51.03487570000004,1,1,51.03545250000002,51.0508327,51.0508327,51.55075160000001,52.05063370000005,52.03442740000003,52.03445099999999,52.05063370000005,52.75059829999998,52.73425420000001,0.533873500000027,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,0,0,0,4,red,0,0,0,0,0,3,3,3,52.75059829999998,,,,,,,,,,,,52.73458400000004,52.75059829999998,52.75059829999998,52.95078530000001,53.55160250000006,3,0,53.551944400000025,53.567386000000056,53.567386000000056,54.067446700000005,54.56887500000005,54.55113860000006,54.551155900000026,54.56887500000005,,55.26725720000002,0.7905496000000767,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,0,0,0,4,red,0,0,0,0,0,4,4,4,55.283738200000016,,,,,,,,,,,,55.26763089999997,55.283738200000016,55.283738200000016,55.48375250000004,55.86880020000001,4,1,55.869181000000026,55.884103900000014,55.884103900000014,56.386415000000056,56.883624300000065,56.86767740000005,56.86769430000004,56.883624300000065,57.58389050000005,57.56751010000005,0.5791440000000421,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,3,270,3,1,red,0,0,0,0,0,5,5,5,57.58389050000005,,,,,,,,,,,,57.567787299999964,57.58389050000005,57.58389050000005,57.783641399999965,58.2012757,1,1,58.20153670000002,58.217367800000034,58.217367800000034,58.71755940000003,59.21697400000005,59.200905300000045,59.200919699999986,59.21697400000005,59.91692050000006,59.90081840000005,0.6006307000000106,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,3,270,3,1,red,0,0,0,0,0,6,6,6,59.91692050000006,,,,,,,,,,,,59.90109380000001,59.91692050000006,59.91692050000006,60.117085100000054,60.46833430000004,2,0,60.468571,60.483808899999985,60.483808899999985,60.98347060000003,61.4838469,61.468769000000066,61.468788399999994,61.4838469,62.18348279999998,62.16727920000005,0.5388526000000411,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,2,180,2,2,red,0,0,0,0,0,7,7,7,62.18348279999998,,,,,,,,,,,,62.16753110000002,62.18348279999998,62.18348279999998,62.383423300000004,62.817496000000006,2,1,62.81783789999997,62.833763999999974,62.833763999999974,63.3332087,63.83327440000005,63.81722609999997,63.81724800000006,63.83327440000005,64.53332190000003,64.5170865,0.6234040000000505,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,2,180,2,2,red,0,0,0,0,0,8,8,8,64.53332190000003,,,,,,,,,,,,64.51734750000003,64.53332190000003,64.53332190000003,64.73334360000001,65.1009583,1,0,65.10130660000004,65.11677350000002,65.11677350000002,65.61678119999999,66.11686540000005,66.10079740000003,66.10082050000005,66.11686540000005,66.81672709999998,66.80059660000006,0.560126299999979,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,0,0,0,4,red,0,0,0,0,0,9,9,9,66.81672709999998,,,,,,,,,,,,66.80084060000002,66.81672709999998,66.81672709999998,67.01656160000005,67.21788370000002,2,0,67.21826299999998,67.23339340000007,67.23339340000007,67.73345689999996,68.23321880000003,68.21715819999997,68.21717509999996,68.23321880000003,68.93310389999999,68.91688550000003,0.39679820000003474,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,2,180,2,2,red,0,0,0,0,0,10,10,10,68.93310389999999,,,,,,,,,,,,68.91710599999999,68.93310389999999,68.93310389999999,69.13326089999998,69.78380319999997,2,1,69.78419710000003,69.79986270000006,69.79986270000006,70.30005270000004,70.79971880000005,70.78345869999998,70.78347310000004,70.79971880000005,71.49965470000006,71.48321220000003,0.8430081999999857,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,2,180,2,2,red,0,0,0,0,0,11,11,11,71.49965470000006,,,,,,,,,,,,71.48341460000006,71.49965470000006,71.49965470000006,71.69985170000007,72.03384540000002,2,1,72.03417279999996,72.04975969999998,72.04975969999998,72.54972650000002,73.04967399999998,73.03349409999998,73.03351210000005,73.04967399999998,73.74958330000004,73.73322089999999,0.5275155999999015,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
sequences/472229_initial_random.csv,0,0,0,4,red,0,0,0,0,0,12,12,12,73.74958330000004,,,,,,,,,,,,73.7334545,73.74958330000004,73.74958330000004,73.9497265,74.08355640000002,2,0,74.08387749999997,74.09987160000003,74.09987160000003,74.59970740000006,75.09957429999997,75.08341040000005,75.08342779999998,75.09957429999997,75.79972850000001,75.78358170000001,0.3274089000000231,None,472229,001,percept,1,2024-07-26_23h10.00.224,ASRT_percept,2023.2.3,59.97609352912374,2024-07-26 23h10.12.227127 +0800,
,,,,,,,,,,,,,,75.79972850000001,,,,,,,,,,,,75.78385060000005,75.79972850000001,75.79972850000001,75.99950160000003,,,,,,,,,,,,,,,,,,,,,,,,,
