initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_practice.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_practice.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0021118000149726868,0.03857299988158047,0.03857299988158047,0.03857299988158047,14.401203299872577,space,14.351853400003165,None,,,,,,,,,,,,,,,,,,,,,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,0,0,0,14.448420600034297,,,,,,,,,,14.414804399944842,14.415096999844536,14.441579399863258,14.448420600034297,14.448420600034297,14.66189739992842,14.928947399836034,None,0,14.92945219995454,14.960309399990365,14.960309399990365,15.445199499838054,15.945243599824607,15.929116999963298,15.929132299963385,15.945243599824607,16.645195599878207,16.628914200002328,,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,1,1,1,16.645195599878207,,,,,,,,,,,,16.629160600015894,16.645195599878207,16.645195599878207,16.84513789997436,17.128896599868312,None,0,17.129117399919778,17.145225199870765,17.145225199870765,17.64522759988904,18.145006499951705,18.129032499855384,18.129074099939317,18.145006499951705,18.845085500041023,18.82897899998352,17.145225199870765,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,2,2,2,18.845085500041023,,,,,,,,,,,,18.829238599864766,18.845085500041023,18.845085500041023,19.045013499911875,19.17964469990693,2,0,19.179994100006297,19.195089999819174,19.195089999819174,19.695021799998358,20.194899800000712,20.17876989999786,20.178786899894476,20.194899800000712,20.894986999919638,20.87894169986248,,0.3336835999507457,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,3,3,3,20.894986999919638,,,,,,,,,,,,20.87920999992639,20.894986999919638,20.894986999919638,21.09484829986468,21.145634799962863,3,0,21.145865599857643,21.161651599919423,21.161651599919423,21.66155039984733,22.161553099984303,22.145612499909475,22.14563769986853,22.161553099984303,22.861410199897364,22.845122899860144,,0.24731060001067817,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,4,4,4,22.861410199897364,,,,,,,,,,,,22.845400199992582,22.861410199897364,22.861410199897364,23.06140309991315,23.345144300023094,None,0,23.345383499981835,23.361536599928513,23.361536599928513,23.861493499949574,24.361378700006753,24.345832400023937,24.345855499850586,24.361378700006753,25.061370400013402,25.045058999909088,23.361536599928513,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,5,5,5,25.061370400013402,,,,,,,,,,,,25.04527709982358,25.061370400013402,25.061370400013402,25.26140580000356,25.362613999983296,2,0,25.36323709995486,25.378242200007662,25.378242200007662,25.878058400005102,26.377960899844766,26.361913800006732,26.361940999981016,26.377960899844766,27.07823250000365,27.061938700033352,,0.2962212001439184,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,6,6,6,27.07823250000365,,,,,,,,,,,,27.062242799904197,27.07823250000365,27.07823250000365,27.277990699978545,27.445314300013706,1,1,27.44563620002009,27.461341299815103,27.461341299815103,27.96124510001391,28.461391099961475,28.445290099829435,28.445329000009224,28.461391099961475,29.161146899918094,29.14487829990685,,0.35466150008141994,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,7,7,7,29.161146899918094,,,,,,,,,,,,29.145287199877203,29.161146899918094,29.161146899918094,29.36119470000267,29.428563699824736,2,0,29.428831999888644,29.44464570004493,29.44464570004493,29.944636499974877,30.444471899885684,30.42819059989415,30.42820949992165,30.444471899885684,31.144408399937674,31.128220999846235,,0.2655095998197794,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,8,8,8,31.144408399937674,,,,,,,,,,,,31.128553499933332,31.144408399937674,31.144408399937674,31.34446099982597,31.36186089995317,3,0,31.362313899910077,31.37781440000981,31.37781440000981,31.877818600041792,32.37783299991861,32.36182189988904,32.36184609984048,32.37783299991861,33.077693099854514,33.061442899983376,,0.20498730009421706,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
