learning_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,key_resp.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.0020311999978730455,0.04312290000234498,0.04312290000234498,0.04312290000234498,1.6137844999975641,space,1.5662211000017123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.625540799999726,1.636650100001134,1.636650100001134,1.636650100001134,2.3469715999963228,space,0.7089820999972289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3573314000022947,2.39308699999674,2.39308699999674,2.39308699999674,3.097963599997456,space,0.7025039000000106,None,,,,,,,,,,,,,,,,,,,,,,,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,180,2,3,left,red,,,,,,,,,0,0,0,0,0,0,0,0,3.1260410999966552,,,,,,,,,,,,,,,,,,,,,,,,,,3.110431000000972,3.1107687999974587,3.1201680000012857,3.1260410999966552,3.1260410999966552,3.3273841999980505,3.627099299999827,3.610959899997397,None,0,3.611229699999967,3.627099299999827,3.627099299999827,4.127224199997727,4.627227099997981,4.611779300001217,4.611812199997075,4.627227099997981,5.326887299997907,5.311880900000688,,,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,180,2,3,left,red,,,,,,,,,0,0,0,0,0,1,1,1,5.326887299997907,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.313127399997029,5.326887299997907,5.326887299997907,5.527127100001962,,5.762280099996133,down,0,5.7630281999954605,5.777156800002558,5.777156800002558,6.277044000002206,6.7770934000000125,6.761262399995758,6.761288000001514,6.7770934000000125,7.476959699997678,7.460882599996694,0.426886100001866,None,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,90,1,2,down,red,,,,,,,,,0,0,0,0,0,2,2,2,7.476959699997678,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4612653000003775,7.476959699997678,7.476959699997678,7.676835099999153,,7.944574499997543,right,0,7.944854699999269,7.960319400001026,7.960319400001026,8.460498200001894,8.960434499997064,8.944678300002124,8.944714400000521,8.960434499997064,9.660391799996432,9.64418840000144,0.4627053000003798,None,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,0,0,1,right,red,,,,,,,,,0,0,0,0,0,3,3,3,9.660391799996432,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.644437299997662,9.660391799996432,9.660391799996432,9.860337300000538,,10.04545259999577,up,0,10.046150299996953,10.060187499999302,10.060187499999302,10.560361399999238,11.060110200000054,11.043669200000295,11.043693300001905,11.060110200000054,,11.74401389999548,0.3741726000007475,None,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,0,0,1,right,red,,,,,,,,,0,0,0,0,0,4,4,4,11.760192100002314,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.744573399999354,11.760192100002314,11.760192100002314,,,11.894633600000816,right,1,11.895004599995445,11.910259899996163,11.910259899996163,12.410342299997865,12.910199300000386,12.894366599997738,12.894400199998927,12.910199300000386,13.609922199997527,13.594132300000638,0.11703430000488879,None,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,0,0,1,right,white,,,,,,,,,0,0,0,0,0,5,5,5,13.609922199997527,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.594345799996518,13.609922199997527,13.609922199997527,13.810024099999282,,13.97711210000125,right,1,13.977470300000277,13.993402699998114,13.993402699998114,14.493320599998697,14.993211799999699,14.977110599997104,14.977126300000236,14.993211799999699,15.693307900000946,15.676865499997803,0.3621469999998226,None,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
sequences/306625_learning_sequence_00.csv,180,2,3,left,red,,,,,,,,,0,0,0,0,0,6,6,6,15.693307900000946,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.67711469999631,15.693307900000946,15.693307900000946,,,15.727837099999306,down,0,15.728148900001543,15.744281899998896,15.744281899998896,16.243141300001298,16.743342199995823,16.726972399999795,16.726991499999713,16.743342199995823,17.44326259999798,17.426860899999156,0.025347299997520167,None,306625,001,percept,1,2024-07-27_10h53.11.411,ASRT_percept,2023.2.3,60.122565863404304,2024-07-27 10h53.21.630962 +0800,
