practice_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_practice.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_practice.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,post_section.started,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.042516799876466393,0.24166679987683892,0.24166679987683892,0.24166679987683892,326.9993941998109,space,326.7437058999203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.02134039998055,327.0293355998583,327.0293355998583,327.0293355998583,328.57597330003045,space,1.5411885001230985,None,,,,,,,,,,,,,,,,,,,,,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,180,2,3,1,red,,,,,0,0,0,1,0,0,0,42,328.605478100013,,,,,,,,,,,,,,,,,,328.5833276999183,328.5836753998883,328.6007590999361,328.605478100013,328.605478100013,328.80327519983985,329.08381289988756,None,0,329.0842126000207,329.1118428998161,329.1118428998161,329.4139028999489,329.71401309990324,329.7044946998358,329.7045163998846,329.71401309990324,330.4142046999186,330.40470859990455,,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,180,2,3,1,red,,,,,0,0,0,1,0,1,1,26,330.4142046999186,,,,,,,,,,,,,,,,,,,,330.4050119998865,330.4142046999186,330.4142046999186,330.6143451000098,330.90488529996946,None,0,330.90512260003015,330.9143977998756,330.9143977998756,331.3936902999412,331.693938100012,331.68393229995854,331.6839592999313,331.693938100012,,332.3840146998409,330.9143977998756,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,0,0,1,3,red,,,,,0,0,0,1,0,2,2,29,332.39394809980877,,,,,,,,,,,,,,,,,,,,332.38433179981075,332.39394809980877,332.39394809980877,332.59402199997567,332.7649664999917,space,0,332.76541969995014,332.777344299946,332.777344299946,333.0747599999886,333.37531109992415,333.3661074999254,333.3661364999134,333.37531109992415,,334.0667479999829,,0.3675330998376012,None,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,270,3,0,4,red,,,,,0,0,0,1,0,3,3,57,334.07665760000236,,,,,,,,,,,,,,,,,,,,334.067135799909,334.07665760000236,334.07665760000236,334.27667939988896,334.5669911999721,None,0,334.5673601999879,334.5826577998232,334.5826577998232,334.8771448000334,335.17803409998305,335.1690436999779,335.169084899826,335.17803409998305,,335.8704099999741,,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,270,3,0,4,red,,,,,0,0,0,1,0,4,4,1,335.8825793999713,,,,,,,,,,,,,,,,,,,,335.87117169983685,335.8825793999713,335.8825793999713,336.0803261999972,336.370564899873,None,0,336.37113550002687,336.3830802999437,336.3830802999437,336.69727909984067,336.9913011000026,336.98230629996397,336.98235940001905,336.9913011000026,337.69325569993816,337.6824234998785,,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,180,2,3,1,red,,,,,0,0,0,1,0,5,5,49,337.69325569993816,,,,,,,,,,,,,,,,,,,,337.68321009981446,337.69325569993816,337.69325569993816,337.891273799818,338.1805890998803,None,0,338.18103319988586,338.19595249998383,338.19595249998383,338.4918027999811,338.7899064999074,338.78143919981085,338.7814904998522,338.7899064999074,339.4883957998827,339.4788689999841,338.19595249998383,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,0,0,1,3,red,,,,,0,0,0,1,0,6,6,54,339.4883957998827,,,,,,,,,,,,,,,,,,,,339.47923569986597,339.4883957998827,339.4883957998827,339.6883971998468,339.92959859990515,4,0,339.92997399996966,339.93929050001316,339.93929050001316,340.23861019988544,340.5386313998606,340.5291656998452,340.5291895000264,340.5386313998606,,341.2299700998701,,0.433617000002414,None,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
sequences/009227_practice_sequence_01.csv,180,2,3,1,red,,,,,0,0,0,1,0,7,7,50,341.2399792999495,,,,,,,,,,,,,,,,,,,,341.230354399886,341.2399792999495,341.2399792999495,341.4392863998655,341.72944119991735,None,0,341.7297127000056,341.73944039992057,341.73944039992057,342.0393607998267,342.3394346998539,342.3302172999829,342.3302493998781,342.3394346998539,343.04006749996915,343.0304957998451,,,,,009227,001,percept,1,2024-07-22_22h47.45.255,ASRT_percept,2023.2.3,None,2024-07-22 22h48.10.887553 +0800,
