motor_testing_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,motor_testing_trials.thisRepN,motor_testing_trials.thisTrialN,motor_testing_trials.thisN,motor_testing_trials.thisIndex,motor_testing_loop.thisRepN,motor_testing_loop.thisTrialN,motor_testing_loop.thisN,motor_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,motor_testing_instruction.started,spaceship3.started,motor_testing_instruction_text.started,key_resp_3.started,motor_testing_instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
sequences/695234_motortesting_sequence_00.csv,180,2,2,2,red,,,,,,,,,,,,,0,0,0,0,0,6,6,6,18.73343730000488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.71790139999939,18.73343730000488,18.73343730000488,18.933292599998822,19.20082209999964,2,1,19.20113180000044,19.216856500002905,19.349853300001996,19.333919100005005,19.33393810000416,19.349853300001996,20.050045100004354,20.03422000000137,,0.4594900999945821,None,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,180,2,2,2,white,,,,,,,,,,,,,0,0,0,0,0,7,7,7,20.050045100004354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.034524700000475,20.050045100004354,20.050045100004354,20.24998890000279,20.367655800000648,2,1,20.36790689999907,20.383298900000227,20.516796600000816,20.500688300002366,20.500717700000678,20.516796600000816,21.21666450000339,21.200282999998308,,0.3068834000005154,None,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,8,8,8,21.21666450000339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20051770000282,21.21666450000339,21.21666450000339,21.416564899998775,21.700299299998733,None,0,21.700473000004422,21.71672060000128,21.849975700002688,21.833707600002526,21.83372380000219,21.849975700002688,22.54999410000164,22.533834400004707,21.71672060000128,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,270,3,3,1,white,,,,,,,,,,,,,0,0,0,0,0,9,9,9,22.54999410000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.534225600000354,22.54999410000164,22.54999410000164,22.749810699999216,23.033555000001797,None,0,23.03372500000114,23.04992840000341,23.183117200002016,23.16711000000214,23.16712969999935,23.183117200002016,23.883165500003088,23.86727619999874,23.04992840000341,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,270,3,3,1,red,,,,,,,,,,,,,0,0,0,0,0,10,10,10,23.883165500003088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.867750099998375,23.883165500003088,23.883165500003088,24.083041500001855,24.36697880000429,None,0,24.367167500000505,24.38303040000028,24.516390500000853,24.500384200000553,24.500403099998948,24.516390500000853,25.216469099999813,25.200185100002273,24.38303040000028,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,0,0,0,4,white,,,,,,,,,,,,,0,0,0,0,0,11,11,11,25.216469099999813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.200456999999005,25.216469099999813,25.216469099999813,25.416474600002402,25.700333100001444,None,0,25.700594800000545,25.716497100002016,25.84980280000309,25.83352630000445,25.83354859999963,25.84980280000309,26.5497217000011,26.533396200000425,25.716497100002016,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,180,2,2,2,red,,,,,,,,,,,,,0,0,0,0,0,12,12,12,26.5497217000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.533694700003252,26.5497217000011,26.5497217000011,26.749779900004796,27.033428900002036,None,0,27.033753000003344,27.049765600000683,27.183072300002095,27.16708450000442,27.167117900004087,27.183072300002095,27.88290219999908,27.86679880000156,27.049765600000683,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,13,13,13,27.88290219999908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.867157699998643,27.88290219999908,27.88290219999908,28.08303700000397,28.366683300002478,None,0,28.36691850000352,28.382851800000935,28.51623770000151,28.499903600000835,28.49991740000405,28.51623770000151,29.21630140000343,29.20014870000159,28.382851800000935,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,180,2,2,2,red,,,,,,,,,,,,,0,0,0,0,0,14,14,14,29.21630140000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.20038360000035,29.21630140000343,29.21630140000343,29.416199999999662,29.700341499999922,None,0,29.700521099999605,29.716209999998682,29.849508300001617,29.833405900004436,29.833423399999447,29.849508300001617,30.549576900004467,30.533468800000264,29.716209999998682,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,180,2,2,2,white,,,,,,,,,,,,,0,0,0,0,0,15,15,15,30.549576900004467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.533969600001,30.549576900004467,30.549576900004467,30.74947190000239,31.033282100004726,None,0,31.033480900005088,31.04956740000489,31.18271470000036,31.167257000000973,31.167279000001145,31.18271470000036,31.882674899999984,31.866678300000785,31.04956740000489,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
