initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002166800004488323,0.04719170000316808,0.04719170000316808,0.04719170000316808,4.02435400000104,space,3.974947599999723,None,,,,,,,,,,,,,,,,,,,,,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,0,0,0,4.0667117000048165,,,,,,,,,,4.036837799998466,4.037288999999873,4.062810800001898,4.0667117000048165,4.0667117000048165,4.2708264000029885,4.537413199999719,None,0,4.53778350000357,4.554122000001371,4.554122000001371,5.054107900003146,5.553948100001435,5.537920700000541,5.537953099999868,5.553948100001435,6.253869300002407,6.237866399998893,,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,1,1,1,6.253869300002407,,,,,,,,,,,,6.238096300003235,6.253869300002407,6.253869300002407,6.453727500003879,6.737751200002094,None,0,6.738042400000268,6.7538463000018965,6.7538463000018965,7.253766499998164,7.753832599999441,7.738075699999172,7.738093400002981,7.753832599999441,8.453756399998383,8.437766399998509,6.7538463000018965,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,2,2,2,8.453756399998383,,,,,,,,,,,,8.437979800000903,8.453756399998383,8.453756399998383,8.65381029999844,8.804832000001625,left,0,8.80544430000009,8.820524800001294,8.820524800001294,9.320588100003079,9.820398900003056,9.804242800004431,9.804259100004856,9.820398900003056,10.52062129999831,10.504375900003652,,0.3434475000030943,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,3,3,3,10.52062129999831,,,,,,,,,,,,10.504792700005055,10.52062129999831,10.52062129999831,10.720397000004596,10.821714800003974,down,0,10.82217920000403,10.837064200000896,10.837064200000896,11.3371638000026,11.837141100004374,11.820897400000831,11.820912700000918,11.837141100004374,12.536984200000006,12.52056150000135,,0.2863710000019637,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,4,4,4,12.536984200000006,,,,,,,,,,,,12.520814100003918,12.536984200000006,12.536984200000006,12.736782200001471,12.987758600000234,down,1,12.988029899999674,13.003532000002451,13.003532000002451,13.50357090000034,14.003549100001692,13.987735200003954,13.987773200002266,14.003549100001692,14.703530600003432,14.687378700000409,,0.4397333999950206,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,5,5,5,14.703530600003432,,,,,,,,,,,,14.6876271000001,14.703530600003432,14.703530600003432,14.903463900001952,15.187451099998725,None,0,15.187638499999593,15.203553500003181,15.203553500003181,15.70341520000511,16.20340070000384,16.18734240000049,16.187359299998207,16.20340070000384,16.90330520000134,16.887148500005424,15.203553500003181,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,6,6,6,16.90330520000134,,,,,,,,,,,,16.887360600005195,16.90330520000134,16.90330520000134,17.103343000002496,17.38764610000362,None,0,17.387991600000532,17.40362720000121,17.40362720000121,17.90353600000526,18.40350010000111,18.38756039999862,18.38758680000319,18.40350010000111,19.10350130000006,19.087202000002435,17.40362720000121,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,7,7,7,19.10350130000006,,,,,,,,,,,,19.087450400002126,19.10350130000006,19.10350130000006,19.303234800005157,19.587204399998882,None,0,19.58744960000331,19.603247300001385,19.603247300001385,20.10314130000188,20.603172600000107,20.58750290000171,20.58753119999892,20.603172600000107,21.30314780000481,21.287375100000645,19.603247300001385,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,8,8,8,21.30314780000481,,,,,,,,,,,,21.28773860000365,21.30314780000481,21.30314780000481,21.50327140000445,21.555220700000064,down,1,21.555703999998514,21.569795700001123,21.569795700001123,22.069902499999444,22.569976200000383,22.554158400002052,22.554194299998926,22.569976200000383,23.269829000004393,23.254063500004122,,0.2402042999965488,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
