block_type,unitx,trial_type,frequency_category,rt,n,correctn,acc,sid,tasktype
learning,4,random,low,616.886258333883,14,13,0.928571428571429,sub105,motor
learning,4,regular,high,518.967458332352,199,194,0.974874371859297,sub105,motor
testing,T,random,high,419.083318421384,128,120,0.9375,sub105,motor
testing,T,random,low,437.822238888556,26,25,0.961538461538461,sub105,motor
testing,T,regular,high,400.565269444996,200,195,0.975,sub105,motor
random,R,random,high,399.913880554474,37,36,0.972972972972973,sub128,motor
random,R,random,low,419.88647083114,18,18,1,sub128,motor
practice,P,random,high,605.104826002207,160,139,0.86875,sub128,motor
practice,P,random,low,590.407393479836,118,103,0.872881355932204,sub128,motor
learning,1,random,high,581.260789583818,83,74,0.891566265060241,sub128,motor
learning,1,random,low,600.008557143502,60,54,0.9,sub128,motor
learning,1,regular,high,589.711227777217,196,184,0.938775510204082,sub128,motor
learning,2,random,high,621.508757999982,101,96,0.95049504950495,sub128,motor
learning,2,random,low,626.350982606907,58,55,0.948275862068965,sub128,motor
learning,2,regular,high,579.760560526522,196,183,0.933673469387755,sub128,motor
learning,3,random,high,638.342233332575,98,94,0.959183673469388,sub128,motor
learning,3,random,low,628.23683749848,58,52,0.896551724137931,sub128,motor
learning,3,regular,high,592.361141665606,195,186,0.953846153846154,sub128,motor
learning,4,random,high,640.1204099998,74,72,0.972972972972973,sub128,motor
learning,4,random,low,641.53146363771,70,63,0.9,sub128,motor
learning,4,regular,high,582.735086841766,193,189,0.979274611398964,sub128,motor
testing,T,random,high,414.794741668326,19,18,0.947368421052632,sub128,motor
testing,T,random,low,444.922922225184,10,10,1,sub128,motor
testing,T,regular,high,399.044269999043,40,39,0.975,sub128,motor
random,R,random,high,435.109256665843,50,45,0.9,test002,motor
random,R,random,low,411.119683315822,4,4,1,test002,motor
practice,P,random,high,483.889544874472,265,232,0.875471698113208,test002,motor
practice,P,random,low,492.002966677925,43,38,0.883720930232558,test002,motor
learning,1,random,high,486.669695835897,119,101,0.848739495798319,test002,motor
learning,1,random,low,549.387977785146,23,21,0.91304347826087,test002,motor
learning,1,regular,high,461.642767500598,198,166,0.838383838383838,test002,motor
learning,2,random,high,465.636093244177,138,115,0.833333333333333,test002,motor
learning,2,random,low,476.365033326955,18,14,0.777777777777778,test002,motor
learning,2,regular,high,449.072376313301,198,172,0.868686868686869,test002,motor
learning,3,random,high,479.164078203328,130,111,0.853846153846154,test002,motor
learning,3,random,low,508.756377789218,27,23,0.851851851851852,test002,motor
learning,3,regular,high,450.332177775433,198,153,0.772727272727273,test002,motor
learning,4,random,high,484.411106579692,123,98,0.796747967479675,test002,motor
learning,4,random,low,476.910078565457,20,18,0.9,test002,motor
learning,4,regular,high,468.20306177388,195,152,0.77948717948718,test002,motor
testing,T,random,high,440.21856486467,130,113,0.869230769230769,test002,motor
testing,T,random,low,429.08972222358,19,16,0.842105263157895,test002,motor
testing,T,regular,high,430.892068422461,200,174,0.87,test002,motor
