trials.thisRepN,seq_report_key.keys,blockID,sid,tasktype
10,2,L07,sub104,motor
11,1,L07,sub104,motor
0,3,L08,sub104,motor
1,3,L08,sub104,motor
2,2,L08,sub104,motor
3,4,L08,sub104,motor
4,3,L08,sub104,motor
5,1,L08,sub104,motor
6,1,L08,sub104,motor
7,2,L08,sub104,motor
8,4,L08,sub104,motor
9,1,L08,sub104,motor
10,3,L08,sub104,motor
11,3,L08,sub104,motor
0,1,L09,sub104,motor
1,2,L09,sub104,motor
2,4,L09,sub104,motor
3,1,L09,sub104,motor
4,3,L09,sub104,motor
5,4,L09,sub104,motor
6,3,L09,sub104,motor
7,4,L09,sub104,motor
8,1,L09,sub104,motor
9,1,L09,sub104,motor
10,4,L09,sub104,motor
11,4,L09,sub104,motor
0,4,L10,sub104,motor
1,1,L10,sub104,motor
2,1,L10,sub104,motor
3,2,L10,sub104,motor
4,2,L10,sub104,motor
5,4,L10,sub104,motor
6,1,L10,sub104,motor
7,3,L10,sub104,motor
8,3,L10,sub104,motor
9,3,L10,sub104,motor
10,2,L10,sub104,motor
11,4,L10,sub104,motor
0,2,L11,sub104,motor
1,2,L11,sub104,motor
2,4,L11,sub104,motor
3,1,L11,sub104,motor
4,3,L11,sub104,motor
5,4,L11,sub104,motor
6,4,L11,sub104,motor
7,4,L11,sub104,motor
8,4,L11,sub104,motor
9,4,L11,sub104,motor
10,1,L11,sub104,motor
11,2,L11,sub104,motor
0,2,L12,sub104,motor
1,2,L12,sub104,motor
2,4,L12,sub104,motor
3,3,L12,sub104,motor
4,1,L12,sub104,motor
5,4,L12,sub104,motor
6,1,L12,sub104,motor
7,3,L12,sub104,motor
8,4,L12,sub104,motor
9,2,L12,sub104,motor
10,4,L12,sub104,motor
11,4,L12,sub104,motor
0,4,L13,sub104,motor
1,2,L13,sub104,motor
2,3,L13,sub104,motor
3,1,L13,sub104,motor
4,1,L13,sub104,motor
5,4,L13,sub104,motor
6,2,L13,sub104,motor
7,3,L13,sub104,motor
8,1,L13,sub104,motor
9,4,L13,sub104,motor
10,1,L13,sub104,motor
11,2,L13,sub104,motor
0,2,L14,sub104,motor
1,4,L14,sub104,motor
2,1,L14,sub104,motor
3,1,L14,sub104,motor
4,3,L14,sub104,motor
5,2,L14,sub104,motor
6,4,L14,sub104,motor
7,1,L14,sub104,motor
8,3,L14,sub104,motor
9,2,L14,sub104,motor
10,2,L14,sub104,motor
11,4,L14,sub104,motor
0,3,L15,sub104,motor
1,3,L15,sub104,motor
2,4,L15,sub104,motor
3,2,L15,sub104,motor
4,1,L15,sub104,motor
5,4,L15,sub104,motor
6,2,L15,sub104,motor
7,1,L15,sub104,motor
8,3,L15,sub104,motor
9,4,L15,sub104,motor
10,2,L15,sub104,motor
11,3,L15,sub104,motor
0,2,L16,sub104,motor
1,4,L16,sub104,motor
2,1,L16,sub104,motor
3,3,L16,sub104,motor
4,2,L16,sub104,motor
5,2,L16,sub104,motor
6,4,L16,sub104,motor
7,1,L16,sub104,motor
8,3,L16,sub104,motor
9,4,L16,sub104,motor
10,4,L16,sub104,motor
11,1,L16,sub104,motor
0,2,L17,sub104,motor
1,4,L17,sub104,motor
2,3,L17,sub104,motor
3,2,L17,sub104,motor
4,4,L17,sub104,motor
5,1,L17,sub104,motor
6,4,L17,sub104,motor
7,1,L17,sub104,motor
8,2,L17,sub104,motor
9,4,L17,sub104,motor
10,3,L17,sub104,motor
11,3,L17,sub104,motor
0,4,L18,sub104,motor
1,2,L18,sub104,motor
2,3,L18,sub104,motor
3,1,L18,sub104,motor
4,1,L18,sub104,motor
5,4,L18,sub104,motor
6,2,L18,sub104,motor
7,1,L18,sub104,motor
8,3,L18,sub104,motor
9,3,L18,sub104,motor
10,4,L18,sub104,motor
11,2,L18,sub104,motor
0,3,L19,sub104,motor
1,1,L19,sub104,motor
2,1,L19,sub104,motor
3,4,L19,sub104,motor
4,2,L19,sub104,motor
5,3,L19,sub104,motor
6,1,L19,sub104,motor
7,4,L19,sub104,motor
8,2,L19,sub104,motor
9,2,L19,sub104,motor
10,4,L19,sub104,motor
11,3,L19,sub104,motor
0,2,L20,sub104,motor
1,4,L20,sub104,motor
