trials.thisRepN,seq_report_key.keys,blockID,sid,tasktype
2,2,L20,001,motor
3,1,L20,001,motor
4,4,L20,001,motor
5,3,L20,001,motor
6,2,L20,001,motor
7,1,L20,001,motor
8,4,L20,001,motor
9,3,L20,001,motor
10,2,L20,001,motor
11,1,L20,001,motor
0,4,L01,002,motor
1,2,L01,002,motor
2,3,L01,002,motor
3,1,L01,002,motor
4,4,L01,002,motor
5,4,L01,002,motor
6,1,L01,002,motor
7,1,L01,002,motor
8,2,L01,002,motor
9,4,L01,002,motor
10,3,L01,002,motor
11,1,L01,002,motor
0,4,L02,002,motor
1,3,L02,002,motor
2,1,L02,002,motor
3,3,L02,002,motor
4,1,L02,002,motor
5,2,L02,002,motor
6,1,L02,002,motor
7,2,L02,002,motor
8,1,L02,002,motor
9,4,L02,002,motor
10,1,L02,002,motor
11,2,L02,002,motor
0,4,L03,002,motor
1,2,L03,002,motor
2,3,L03,002,motor
3,3,L03,002,motor
4,2,L03,002,motor
5,1,L03,002,motor
6,2,L03,002,motor
7,1,L03,002,motor
8,4,L03,002,motor
9,2,L03,002,motor
10,3,L03,002,motor
11,1,L03,002,motor
0,3,L04,002,motor
1,1,L04,002,motor
2,3,L04,002,motor
3,1,L04,002,motor
4,2,L04,002,motor
5,3,L04,002,motor
6,4,L04,002,motor
7,3,L04,002,motor
8,2,L04,002,motor
9,1,L04,002,motor
10,4,L04,002,motor
11,3,L04,002,motor
0,3,L05,002,motor
1,1,L05,002,motor
2,1,L05,002,motor
3,4,L05,002,motor
4,1,L05,002,motor
5,2,L05,002,motor
6,1,L05,002,motor
7,2,L05,002,motor
8,3,L05,002,motor
9,4,L05,002,motor
10,1,L05,002,motor
11,4,L05,002,motor
0,4,L06,002,motor
1,3,L06,002,motor
2,1,L06,002,motor
3,2,L06,002,motor
4,3,L06,002,motor
5,2,L06,002,motor
6,1,L06,002,motor
7,4,L06,002,motor
8,3,L06,002,motor
9,2,L06,002,motor
10,2,L06,002,motor
11,4,L06,002,motor
0,1,L07,002,motor
1,3,L07,002,motor
2,4,L07,002,motor
3,2,L07,002,motor
4,1,L07,002,motor
5,4,L07,002,motor
6,4,L07,002,motor
7,3,L07,002,motor
8,1,L07,002,motor
9,2,L07,002,motor
10,4,L07,002,motor
11,3,L07,002,motor
0,1,L08,002,motor
1,3,L08,002,motor
2,1,L08,002,motor
3,4,L08,002,motor
4,1,L08,002,motor
5,2,L08,002,motor
6,1,L08,002,motor
7,4,L08,002,motor
8,2,L08,002,motor
9,1,L08,002,motor
10,3,L08,002,motor
11,4,L08,002,motor
0,4,L09,002,motor
1,2,L09,002,motor
2,4,L09,002,motor
3,1,L09,002,motor
4,3,L09,002,motor
5,1,L09,002,motor
6,4,L09,002,motor
7,2,L09,002,motor
8,3,L09,002,motor
9,4,L09,002,motor
10,1,L09,002,motor
11,4,L09,002,motor
0,1,L10,002,motor
1,3,L10,002,motor
2,4,L10,002,motor
3,2,L10,002,motor
4,2,L10,002,motor
5,4,L10,002,motor
6,3,L10,002,motor
7,1,L10,002,motor
8,4,L10,002,motor
9,3,L10,002,motor
10,4,L10,002,motor
11,1,L10,002,motor
0,1,L11,002,motor
1,3,L11,002,motor
2,1,L11,002,motor
3,4,L11,002,motor
4,2,L11,002,motor
5,4,L11,002,motor
6,4,L11,002,motor
7,1,L11,002,motor
8,3,L11,002,motor
9,2,L11,002,motor
10,4,L11,002,motor
11,1,L11,002,motor
0,1,L12,002,motor
1,4,L12,002,motor
2,2,L12,002,motor
3,1,L12,002,motor
4,4,L12,002,motor
5,1,L12,002,motor
6,3,L12,002,motor
7,2,L12,002,motor
8,1,L12,002,motor
9,1,L12,002,motor
10,4,L12,002,motor
11,2,L12,002,motor
0,1,L13,002,motor
1,3,L13,002,motor
2,4,L13,002,motor
3,1,L13,002,motor
4,2,L13,002,motor
5,2,L13,002,motor
6,1,L13,002,motor
7,2,L13,002,motor
8,4,L13,002,motor
9,3,L13,002,motor
10,1,L13,002,motor
11,2,L13,002,motor
0,1,L14,002,motor
1,3,L14,002,motor
2,1,L14,002,motor
3,4,L14,002,motor
4,2,L14,002,motor
5,3,L14,002,motor
6,2,L14,002,motor
7,4,L14,002,motor
8,1,L14,002,motor
9,3,L14,002,motor
10,3,L14,002,motor
11,2,L14,002,motor
0,3,L15,002,motor
1,1,L15,002,motor
2,4,L15,002,motor
3,2,L15,002,motor
4,3,L15,002,motor
5,2,L15,002,motor
6,4,L15,002,motor
7,1,L15,002,motor
8,1,L15,002,motor
9,4,L15,002,motor
10,2,L15,002,motor
11,4,L15,002,motor
0,4,L16,002,motor
1,1,L16,002,motor
2,3,L16,002,motor
3,1,L16,002,motor
4,4,L16,002,motor
5,2,L16,002,motor
6,4,L16,002,motor
7,2,L16,002,motor
8,1,L16,002,motor
9,3,L16,002,motor
10,1,L16,002,motor
11,4,L16,002,motor
0,3,L17,002,motor
1,2,L17,002,motor
2,4,L17,002,motor
3,2,L17,002,motor
4,1,L17,002,motor
5,4,L17,002,motor
6,2,L17,002,motor
7,3,L17,002,motor
8,2,L17,002,motor
9,4,L17,002,motor
10,4,L17,002,motor
11,1,L17,002,motor
0,4,L18,002,motor
1,4,L18,002,motor
2,2,L18,002,motor
3,1,L18,002,motor
4,3,L18,002,motor
5,4,L18,002,motor
6,1,L18,002,motor
7,2,L18,002,motor
8,3,L18,002,motor
9,4,L18,002,motor
10,3,L18,002,motor
11,2,L18,002,motor
0,3,L19,002,motor
1,4,L19,002,motor
2,1,L19,002,motor
3,4,L19,002,motor
4,2,L19,002,motor
5,4,L19,002,motor
6,2,L19,002,motor
7,3,L19,002,motor
8,4,L19,002,motor
9,1,L19,002,motor
10,2,L19,002,motor
11,4,L19,002,motor
0,3,L20,002,motor
1,4,L20,002,motor
2,1,L20,002,motor
3,4,L20,002,motor
4,1,L20,002,motor
5,2,L20,002,motor
6,3,L20,002,motor
7,2,L20,002,motor
8,4,L20,002,motor
9,1,L20,002,motor
10,1,L20,002,motor
11,3,L20,002,motor
0,3,L01,sub101,motor
1,3,L01,sub101,motor
2,4,L01,sub101,motor
3,2,L01,sub101,motor
4,3,L01,sub101,motor
5,3,L01,sub101,motor
6,1,L01,sub101,motor
7,4,L01,sub101,motor
8,3,L01,sub101,motor
9,2,L01,sub101,motor
10,3,L01,sub101,motor
11,3,L01,sub101,motor
0,4,L02,sub101,motor
1,3,L02,sub101,motor
2,2,L02,sub101,motor
3,1,L02,sub101,motor
4,4,L02,sub101,motor
5,3,L02,sub101,motor
6,2,L02,sub101,motor
7,1,L02,sub101,motor
8,4,L02,sub101,motor
9,3,L02,sub101,motor
10,2,L02,sub101,motor
11,1,L02,sub101,motor
0,4,L03,sub101,motor
1,3,L03,sub101,motor
2,2,L03,sub101,motor
3,1,L03,sub101,motor
4,4,L03,sub101,motor
5,3,L03,sub101,motor
6,2,L03,sub101,motor
7,1,L03,sub101,motor
8,4,L03,sub101,motor
9,3,L03,sub101,motor
10,2,L03,sub101,motor
11,1,L03,sub101,motor
0,4,L04,sub101,motor
1,3,L04,sub101,motor
2,2,L04,sub101,motor
3,1,L04,sub101,motor
4,4,L04,sub101,motor
5,3,L04,sub101,motor
6,2,L04,sub101,motor
7,1,L04,sub101,motor
8,4,L04,sub101,motor
9,3,L04,sub101,motor
10,2,L04,sub101,motor
11,1,L04,sub101,motor
0,4,L05,sub101,motor
1,3,L05,sub101,motor
2,2,L05,sub101,motor
3,1,L05,sub101,motor
4,4,L05,sub101,motor
5,3,L05,sub101,motor
6,2,L05,sub101,motor
7,1,L05,sub101,motor
8,4,L05,sub101,motor
9,3,L05,sub101,motor
10,2,L05,sub101,motor
11,1,L05,sub101,motor
0,4,L06,sub101,motor
1,3,L06,sub101,motor
2,2,L06,sub101,motor
3,1,L06,sub101,motor
4,4,L06,sub101,motor
5,3,L06,sub101,motor
6,2,L06,sub101,motor
7,1,L06,sub101,motor
8,4,L06,sub101,motor
9,3,L06,sub101,motor
10,2,L06,sub101,motor
11,1,L06,sub101,motor
0,4,L07,sub101,motor
1,3,L07,sub101,motor
2,2,L07,sub101,motor
3,1,L07,sub101,motor
4,4,L07,sub101,motor
5,3,L07,sub101,motor
6,2,L07,sub101,motor
7,1,L07,sub101,motor
8,4,L07,sub101,motor
9,3,L07,sub101,motor
10,2,L07,sub101,motor
11,1,L07,sub101,motor
0,4,L08,sub101,motor
1,3,L08,sub101,motor
2,2,L08,sub101,motor
3,1,L08,sub101,motor
4,4,L08,sub101,motor
5,3,L08,sub101,motor
6,2,L08,sub101,motor
7,1,L08,sub101,motor
8,4,L08,sub101,motor
9,3,L08,sub101,motor
10,2,L08,sub101,motor
11,1,L08,sub101,motor
0,4,L09,sub101,motor
1,3,L09,sub101,motor
2,2,L09,sub101,motor
3,1,L09,sub101,motor
4,4,L09,sub101,motor
5,3,L09,sub101,motor
6,2,L09,sub101,motor
7,1,L09,sub101,motor
8,4,L09,sub101,motor
9,3,L09,sub101,motor
10,2,L09,sub101,motor
11,1,L09,sub101,motor
0,4,L10,sub101,motor
1,3,L10,sub101,motor
2,2,L10,sub101,motor
3,1,L10,sub101,motor
4,4,L10,sub101,motor
5,3,L10,sub101,motor
6,2,L10,sub101,motor
7,1,L10,sub101,motor
8,4,L10,sub101,motor
9,3,L10,sub101,motor
10,2,L10,sub101,motor
11,1,L10,sub101,motor
0,4,L11,sub101,motor
1,3,L11,sub101,motor
2,2,L11,sub101,motor
3,1,L11,sub101,motor
4,4,L11,sub101,motor
5,3,L11,sub101,motor
6,2,L11,sub101,motor
7,1,L11,sub101,motor
8,4,L11,sub101,motor
9,3,L11,sub101,motor
10,2,L11,sub101,motor
11,1,L11,sub101,motor
0,4,L12,sub101,motor
1,3,L12,sub101,motor
2,2,L12,sub101,motor
3,1,L12,sub101,motor
4,4,L12,sub101,motor
5,3,L12,sub101,motor
6,2,L12,sub101,motor
7,1,L12,sub101,motor
8,4,L12,sub101,motor
9,3,L12,sub101,motor
10,2,L12,sub101,motor
11,1,L12,sub101,motor
0,4,L13,sub101,motor
1,3,L13,sub101,motor
2,2,L13,sub101,motor
3,1,L13,sub101,motor
4,4,L13,sub101,motor
5,3,L13,sub101,motor
6,2,L13,sub101,motor
7,1,L13,sub101,motor
8,4,L13,sub101,motor
9,3,L13,sub101,motor
10,2,L13,sub101,motor
11,1,L13,sub101,motor
0,4,L14,sub101,motor
1,3,L14,sub101,motor
2,2,L14,sub101,motor
3,1,L14,sub101,motor
4,4,L14,sub101,motor
5,3,L14,sub101,motor
6,2,L14,sub101,motor
7,1,L14,sub101,motor
8,4,L14,sub101,motor
9,3,L14,sub101,motor
10,2,L14,sub101,motor
11,1,L14,sub101,motor
0,4,L15,sub101,motor
1,3,L15,sub101,motor
2,2,L15,sub101,motor
3,1,L15,sub101,motor
4,4,L15,sub101,motor
5,3,L15,sub101,motor
6,2,L15,sub101,motor
7,1,L15,sub101,motor
8,4,L15,sub101,motor
9,3,L15,sub101,motor
10,2,L15,sub101,motor
11,1,L15,sub101,motor
0,4,L16,sub101,motor
1,3,L16,sub101,motor
2,2,L16,sub101,motor
3,1,L16,sub101,motor
4,4,L16,sub101,motor
5,3,L16,sub101,motor
6,2,L16,sub101,motor
7,1,L16,sub101,motor
8,4,L16,sub101,motor
9,3,L16,sub101,motor
10,2,L16,sub101,motor
11,1,L16,sub101,motor
0,4,L17,sub101,motor
1,3,L17,sub101,motor
2,2,L17,sub101,motor
3,1,L17,sub101,motor
4,4,L17,sub101,motor
5,3,L17,sub101,motor
6,2,L17,sub101,motor
7,1,L17,sub101,motor
8,4,L17,sub101,motor
9,3,L17,sub101,motor
10,2,L17,sub101,motor
11,1,L17,sub101,motor
0,4,L18,sub101,motor
1,3,L18,sub101,motor
2,2,L18,sub101,motor
3,1,L18,sub101,motor
4,4,L18,sub101,motor
5,3,L18,sub101,motor
6,2,L18,sub101,motor
7,1,L18,sub101,motor
8,4,L18,sub101,motor
9,3,L18,sub101,motor
10,2,L18,sub101,motor
11,1,L18,sub101,motor
0,4,L19,sub101,motor
1,3,L19,sub101,motor
2,2,L19,sub101,motor
3,1,L19,sub101,motor
4,4,L19,sub101,motor
5,3,L19,sub101,motor
6,2,L19,sub101,motor
7,1,L19,sub101,motor
8,4,L19,sub101,motor
9,3,L19,sub101,motor
10,2,L19,sub101,motor
11,1,L19,sub101,motor
0,4,L20,sub101,motor
1,3,L20,sub101,motor
2,2,L20,sub101,motor
3,1,L20,sub101,motor
4,4,L20,sub101,motor
5,3,L20,sub101,motor
6,2,L20,sub101,motor
7,1,L20,sub101,motor
8,4,L20,sub101,motor
9,3,L20,sub101,motor
10,2,L20,sub101,motor
11,1,L20,sub101,motor
0,2,L01,sub104,motor
1,2,L01,sub104,motor
2,4,L01,sub104,motor
3,3,L01,sub104,motor
4,1,L01,sub104,motor
5,3,L01,sub104,motor
6,2,L01,sub104,motor
7,1,L01,sub104,motor
8,2,L01,sub104,motor
9,4,L01,sub104,motor
10,2,L01,sub104,motor
11,2,L01,sub104,motor
0,4,L02,sub104,motor
1,2,L02,sub104,motor
2,1,L02,sub104,motor
3,2,L02,sub104,motor
4,4,L02,sub104,motor
5,4,L02,sub104,motor
6,3,L02,sub104,motor
7,1,L02,sub104,motor
8,2,L02,sub104,motor
9,4,L02,sub104,motor
10,4,L02,sub104,motor
11,1,L02,sub104,motor
0,2,L03,sub104,motor
1,1,L03,sub104,motor
2,4,L03,sub104,motor
3,1,L03,sub104,motor
4,2,L03,sub104,motor
5,2,L03,sub104,motor
6,3,L03,sub104,motor
7,3,L03,sub104,motor
8,1,L03,sub104,motor
9,2,L03,sub104,motor
10,4,L03,sub104,motor
11,1,L03,sub104,motor
0,3,L04,sub104,motor
1,3,L04,sub104,motor
2,4,L04,sub104,motor
3,1,L04,sub104,motor
4,1,L04,sub104,motor
5,4,L04,sub104,motor
6,2,L04,sub104,motor
7,2,L04,sub104,motor
8,1,L04,sub104,motor
9,4,L04,sub104,motor
10,1,L04,sub104,motor
11,1,L04,sub104,motor
0,1,L05,sub104,motor
1,3,L05,sub104,motor
2,3,L05,sub104,motor
3,2,L05,sub104,motor
4,4,L05,sub104,motor
5,1,L05,sub104,motor
6,1,L05,sub104,motor
7,2,L05,sub104,motor
8,3,L05,sub104,motor
9,2,L05,sub104,motor
10,4,L05,sub104,motor
11,1,L05,sub104,motor
0,4,L06,sub104,motor
1,2,L06,sub104,motor
2,4,L06,sub104,motor
3,4,L06,sub104,motor
4,2,L06,sub104,motor
5,3,L06,sub104,motor
6,2,L06,sub104,motor
7,1,L06,sub104,motor
8,1,L06,sub104,motor
9,4,L06,sub104,motor
10,2,L06,sub104,motor
11,2,L06,sub104,motor
0,3,L07,sub104,motor
1,3,L07,sub104,motor
2,1,L07,sub104,motor
3,4,L07,sub104,motor
4,2,L07,sub104,motor
5,2,L07,sub104,motor
6,4,L07,sub104,motor
7,4,L07,sub104,motor
8,3,L07,sub104,motor
9,3,L07,sub104,motor
