percept_testing_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,percept_testing_trials.thisRepN,percept_testing_trials.thisTrialN,percept_testing_trials.thisN,percept_testing_trials.thisIndex,percept_testing_loop.thisRepN,percept_testing_loop.thisTrialN,percept_testing_loop.thisN,percept_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,percept_testing_instruction.started,spaceship4.started,key_resp_5.started,percept_testing_instruction_text.started,percept_testing_instruction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,pre_section.started,fixation_init.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,post_section.started,feedback_post_section.started,key_resp_4.started,post_section.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation_init.stopped,key_resp.rt,key_resp.duration,thankyouscreen.started,text.started,key_resp_6.started,thankyouscreen.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/002534_percepttesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,6,6,6,15.639692099997774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62410159999854,15.639692099997774,15.639692099997774,15.839767700002994,16.623352099995827,None,0,16.623545999987982,16.639496699994197,16.772825499996543,16.756586200004676,16.756602499983273,16.772825499996543,17.47275649997755,17.456623499980196,16.639496699994197,,,,,,,,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,7,7,7,17.47275649997755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45699639999657,17.47275649997755,17.47275649997755,17.672850499977358,18.456638899981044,None,0,18.45686389997718,18.472772599983728,18.606133199995384,18.589938399993116,18.58995419999701,18.606133199995384,19.314489999989746,19.29020789999049,18.472772599983728,,,,,,,,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_00.csv,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.290281499997946,19.314489999989746,19.314489999989746,21.256973199982895,space,1.9271008000068832,None,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,270,3,3,1,red,,,,,,,,,,,,,0,1,1,1,0,0,0,0,22.273366099980194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2577592000016,21.273297899984755,22.256486300000688,22.260856999986572,22.273366099980194,22.273366099980194,22.472533099993598,23.256191899999976,None,0,23.256475100002717,23.27250950000598,23.405957899987698,23.389603999996325,23.389619399997173,23.405957899987698,24.10575279998011,24.089818299980834,23.27250950000598,,,,,,,,22.273366099980194,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,90,1,1,3,red,,,,,,,,,,,,,0,1,1,1,0,1,1,1,24.10575279998011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.090072299994063,24.10575279998011,24.10575279998011,24.306526600004872,24.57304099999601,2,0,24.573385800002143,24.589262900000904,24.722542200004682,24.70646059999126,24.7064767999982,24.722542200004682,25.422475200000918,25.406252199987648,,,,,,,,,,0.45424130000174046,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,90,1,1,3,red,,,,,,,,,,,,,0,1,1,1,0,2,2,2,25.422475200000918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.406505499995546,25.422475200000918,25.422475200000918,25.622500199999195,26.15633159998106,3,1,26.15663169999607,26.17234570000437,26.305778899986763,26.289479300001403,26.28949699999066,26.305778899986763,27.005672300001606,26.989478899980895,,,,,,,,,,0.7229685999918729,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,180,2,2,2,red,,,,,,,,,,,,,0,1,1,1,0,3,3,3,27.005672300001606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.989718199998606,27.005672300001606,27.005672300001606,27.205649899988202,27.989614399994025,None,0,27.98991139998543,28.00565489998553,28.139899500005413,28.123237599997083,28.123259299987694,28.139899500005413,28.83914939998067,28.82321159998537,28.00565489998553,,,,,,,,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,0,0,0,4,red,,,,,,,,,,,,,0,1,1,1,0,4,4,4,28.83914939998067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.82354640000267,28.83914939998067,28.83914939998067,29.03895729998476,29.42296399999759,4,1,29.423228700004984,29.438970299990615,29.572472600004403,29.556259399978444,29.556276599992998,29.572472600004403,30.27216959997895,30.25607279999531,,,,,,,,,,0.5744768000149634,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,180,2,2,2,white,,,,,,,,,,,,,0,1,1,1,0,5,5,5,30.27216959997895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.256323899986455,30.27216959997895,30.27216959997895,30.47237549998681,30.872953899990534,2,1,30.87322939999285,30.888786399998935,31.022102999995695,31.006257899978664,31.006280000001425,31.022102999995695,31.722075700003188,31.70587569999043,,,,,,,,,,0.5971348999883048,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,0,0,0,4,red,,,,,,,,,,,,,0,1,1,1,0,6,6,6,31.722075700003188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.706218499981333,31.722075700003188,31.722075700003188,31.921948799979873,32.47286849998636,4,1,32.473130200000014,32.48878210000112,32.62215609999839,32.60601109999698,32.606028099980904,32.62215609999839,33.32202409999445,33.30600290000439,,,,,,,,,,0.7388018000056036,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,90,1,1,3,white,,,,,,,,,,,,,0,1,1,1,0,7,7,7,33.32202409999445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.30625870000222,33.32202409999445,33.32202409999445,33.52266059999238,34.18959639998502,3,1,34.189864199986914,34.20566979999421,34.33857419999549,34.322636600001715,34.322651499998756,34.33857419999549,35.0386412999942,35.022607099992456,,,,,,,,,,0.8658255999907851,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_01.csv,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0226846000005,35.0386412999942,35.0386412999942,36.90586639998946,space,1.8577093000058085,None,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,270,3,3,1,red,,,,,,,,,,,,,0,2,2,2,0,0,0,0,37.92177220000303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.906190399982734,36.921955400001025,37.90569990000222,37.91124749998562,37.92177220000303,37.92177220000303,38.12192169998889,38.539159499981906,1,1,38.539586099999724,38.555053299991414,38.68856889999006,38.67245109999203,38.67246719999821,38.68856889999006,39.388581899984274,39.37208959998679,,,,,,,,,37.92177220000303,0.606082799989963,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,270,3,3,1,red,,,,,,,,,,,,,0,2,2,2,0,1,1,1,39.388581899984274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.372435099998256,39.388581899984274,39.388581899984274,39.58851099997992,39.92238509998424,1,1,39.922658800001955,39.93837679998251,40.07172659999924,40.05585529998643,40.055871599994134,40.07172659999924,40.77184859997942,40.75559250000515,,,,,,,,,,0.518957499996759,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,0,0,0,4,red,,,,,,,,,,,,,0,2,2,2,0,2,2,2,40.77184859997942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75583079998614,40.77184859997942,40.77184859997942,40.97166599999764,41.75570239999797,None,0,41.75589699999546,41.77181259999634,41.904938499996206,41.88875789998565,41.88877679998404,41.904938499996206,42.60516619999544,42.58903079997981,41.77181259999634,,,,,,,,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,0,0,0,4,red,,,,,,,,,,,,,0,2,2,2,0,3,3,3,42.60516619999544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.58930369999143,42.60516619999544,42.60516619999544,42.804802999977255,43.4890519999899,4,1,43.48932739999145,43.504893399978755,43.638084699981846,43.621905299980426,43.62192129998584,43.638084699981846,44.33815939998021,44.321937799977604,,,,,,,,,,0.8737916000245605,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,180,2,2,2,red,,,,,,,,,,,,,0,2,2,2,0,4,4,4,44.33815939998021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.32220599998254,44.33815939998021,44.33815939998021,44.538114199996926,45.07212999998592,2,1,45.07245999999577,45.08807749999687,45.2217061999836,45.205650099989725,45.20567149997805,45.2217061999836,45.9215278000047,45.905483299982734,,,,,,,,,,0.7308064999815542,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,180,2,2,2,white,,,,,,,,,,,,,0,2,2,2,0,5,5,5,45.9215278000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.905733099993085,45.9215278000047,45.9215278000047,46.12136859999737,46.90513529998134,None,0,46.905443199997535,46.92141339997761,47.05466189997969,47.03858299998683,47.03859879999072,47.05466189997969,47.75466959999176,47.73871289999806,46.92141339997761,,,,,,,,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,90,1,1,3,red,,,,,,,,,,,,,0,2,2,2,0,6,6,6,47.75466959999176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.738971699989634,47.75466959999176,47.75466959999176,47.95471109999926,48.455277200002456,4,0,48.45555669997702,48.4712792999926,48.604541199980304,48.58853619999718,48.58855919999769,48.604541199980304,49.30465939998976,49.288333599979524,,,,,,,,,,0.6881589000113308,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,90,1,1,3,white,,,,,,,,,,,,,0,2,2,2,0,7,7,7,49.30465939998976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.28868249998777,49.30465939998976,49.30465939998976,49.5048994999961,50.2051978999807,3,1,50.20549199997913,50.22120589998667,50.35465569997905,50.33888460000162,50.33891079999739,50.35465569997905,51.0545645999955,51.03824339999119,,,,,,,,,,0.8963017000060063,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_02.csv,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.03833680000389,51.0545645999955,51.0545645999955,52.805093300004955,space,1.7342074000043795,None,,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,90,1,1,3,red,,,,,,,,,,,,,0,3,3,3,0,0,0,0,53.821191199996974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.80546839997987,52.820948899985524,53.8048329000012,53.80921199999284,53.821191199996974,53.821191199996974,54.020852499990724,54.8047438999929,None,0,54.80503580000368,54.82100549997995,54.95425829998567,54.938077800004976,54.93809379998129,54.95425829998567,55.654452999995556,55.63811989998794,54.82100549997995,,,,,,,,53.821191199996974,,,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,180,2,2,2,red,,,,,,,,,,,,,0,3,3,3,0,1,1,1,55.654452999995556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.63835910000489,55.654452999995556,55.654452999995556,55.854366399988066,56.62212559999898,3,0,56.622499499993864,56.6377489999868,56.77092559999437,56.75459709999268,56.754615399986506,56.77092559999437,57.47078770000371,57.454835599986836,,,,,,,,,,0.9514020000060555,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,90,1,1,3,red,,,,,,,,,,,,,0,3,3,3,0,2,2,2,57.47078770000371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.45509350000066,57.47078770000371,57.47078770000371,57.6708920999954,58.22145329997875,4,0,58.22184089999064,58.23724369998672,58.371008999994956,58.35507510000025,58.35509919998003,58.371008999994956,59.070678999996744,59.05452179998974,,,,,,,,,,0.7408180999918841,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,270,3,3,1,red,,,,,,,,,,,,,0,3,3,3,0,3,3,3,59.070678999996744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.054825999977766,59.070678999996744,59.070678999996744,59.27079879998928,59.93824499999755,1,1,59.93848660000367,59.95409970000037,60.08734209998511,60.07109029998537,60.07110800000373,60.08734209998511,60.78734519999125,60.77128849999281,,,,,,,,,,0.853706299996702,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,90,1,1,3,red,,,,,,,,,,,,,0,3,3,3,0,4,4,4,60.78734519999125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.77151769999182,60.78734519999125,60.78734519999125,60.98748650000198,61.45462740000221,3,1,61.45487739998498,61.47083769997698,61.6039019000018,61.58793169999262,61.58794830000261,61.6039019000018,62.303918499994325,62.287556600000244,,,,,,,,,,0.6626016999944113,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,180,2,2,2,white,,,,,,,,,,,,,0,3,3,3,0,5,5,5,62.303918499994325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.28779229999054,62.303918499994325,62.303918499994325,62.50407189998077,62.97174489998724,2,1,62.97215639997739,62.987329900002806,63.12068170000566,63.10452239998267,63.10453789998428,63.12068170000566,,63.80538629999501,,,,,,,,,,0.6514937999891117,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
sequences/002534_percepttesting_sequence_03.csv,90,1,1,3,red,,,,,,,,,,,,,0,3,3,3,0,6,6,6,63.820835399994394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.80630430000019,63.820835399994394,63.820835399994394,64.02066079998622,64.25433969998267,3,1,64.25463640000089,64.27042689998052,64.40408959999331,64.3876027999795,64.38762159997714,64.40408959999331,65.10387749999063,65.08762019997812,,,,,,,,,,0.4185226999979932,None,,,,,,,,002534,percept,6,0,2024-08-08_00h11.06.492,ASRT_percept,2023.2.3,59.91536355816774,2024-08-08 00h11.26.805683 +0800,
