percept_testing_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,percept_testing_trials.thisRepN,percept_testing_trials.thisTrialN,percept_testing_trials.thisN,percept_testing_trials.thisIndex,percept_testing_loop.thisRepN,percept_testing_loop.thisTrialN,percept_testing_loop.thisN,percept_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,percept_testing_instruction.started,spaceship4.started,key_resp_5.started,percept_testing_instruction_text.started,percept_testing_instruction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,pre_section.started,fixation_init.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,RSI.started,text_2.started,RSI.stopped,text_2.stopped,post_section.started,feedback_post_section.started,key_resp_4.started,post_section.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation_init.stopped,key_resp.stopped,participant,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,6,6,6,18.053992799999833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.048512900000787,18.053992799999833,18.053992799999833,18.259938400000465,18.443128499999148,4,1,0.3864522999992914,None,18.443698799999765,18.45090700000037,18.504819800000405,18.498326599999928,18.498387699999512,18.504819800000405,19.199104799999986,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,7,7,7,19.20685770000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.200056899999254,19.20685770000091,19.20685770000091,19.407199699999182,19.56948999999986,3,1,0.35567919999994047,None,19.570367099999203,19.577653000000282,19.627997100000357,19.62127540000074,19.621298699999898,19.627997100000357,20.322987400000784,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,180,2,2,2,red,,,,,,,,,,,,,0,0,0,0,0,8,8,8,20.33244519999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.323882599999706,20.33244519999971,20.33244519999971,20.536943200000678,20.679003100000045,2,1,0.3421906999992643,None,20.67970140000034,20.684064999999464,20.738882800000283,20.732682899999418,20.73271989999921,20.738882800000283,21.434284999999363,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,white,,,,,,,,,,,,,0,0,0,0,0,9,9,9,21.445062900000266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.435724400000254,21.445062900000266,21.445062900000266,21.648651400000745,21.813707799999975,4,1,0.36103240000011283,None,21.81530129999919,21.826179600000614,21.870397700000467,21.864421700000094,21.86446910000086,21.870397700000467,22.565111800000523,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,180,2,2,2,red,,,,,,,,,,,,,0,0,0,0,0,10,10,10,22.57196979999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.56536059999962,22.57196979999935,22.57196979999935,22.774153000000297,22.97266590000072,2,1,0.3904588999994303,None,22.973495500000354,22.97935139999936,23.031311299999288,23.025077000000238,23.025125000000116,23.031311299999288,23.726138300000457,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,270,3,3,1,white,,,,,,,,,,,,,0,0,0,0,0,11,11,11,23.734509899999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.72717659999944,23.734509899999466,23.734509899999466,23.932623099999546,24.012674100000368,1,1,0.2756037999988621,None,24.013683999999557,24.020712499999718,24.072473300000638,24.06685060000018,24.066921899999215,24.072473300000638,24.767608699999982,24.774852399999872,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,red,,,,,,,,,,,,,0,0,0,0,0,12,12,12,24.774852399999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.76833269999952,24.774852399999872,24.774852399999872,24.974646399999983,25.146531099999265,3,1,0.36521129999891855,None,25.14746809999997,25.158742800000255,25.204096100000243,25.198484799999278,25.1985394000003,25.204096100000243,25.89852819999942,25.904762500000288,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,180,2,2,2,white,,,,,,,,,,,,,0,0,0,0,0,13,13,13,25.904762500000288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89875740000025,25.904762500000288,25.904762500000288,26.106972600000518,26.253487399999358,2,1,0.33639709999988554,None,26.254610300000422,26.262206499999593,26.307860599999913,26.301516300000003,26.301562200000262,26.307860599999913,27.00286100000085,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,red,,,,,,,,,,,,,0,0,0,0,0,14,14,14,27.009287200000472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00338659999943,27.009287200000472,27.009287200000472,27.210775900000954,27.426812800000334,3,1,0.4147013000001607,None,27.42709620000096,27.43377689999943,27.48821710000084,27.483812500000568,27.483831499999724,27.48821710000084,28.18439650000073,28.189935700000206,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,15,15,15,28.189935700000206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.185024899999917,28.189935700000206,28.189935700000206,28.391547100000025,28.539632600000914,3,1,0.34258480000062264,None,28.53991479999968,28.54389699999956,28.6007026999996,28.59599680000065,28.596063999999387,28.6007026999996,29.296434300000328,29.304700500000763,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
