initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,practice_seq_files,learning_seq_files,percept_testing_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,percept_testing_trials.thisRepN,percept_testing_trials.thisTrialN,percept_testing_trials.thisN,percept_testing_trials.thisIndex,percept_testing_loop.thisRepN,percept_testing_loop.thisTrialN,percept_testing_loop.thisN,percept_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,fixation_init.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,post_section.started,feedback_post_section.started,key_resp_4.started,feedback_post_section.stopped,post_section.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation_init.stopped,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,seqreport_instruction.started,seqreport_instruction_text.started,seqreport_instruction_key.started,seqreport_instruction.stopped,seqreport_instruction_key.keys,seqreport_instruction_key.rt,seqreport_instruction_key.duration,seqreport.started,seq_report_key.started,seqreport.stopped,seq_report_key.keys,seq_report_key.rt,seq_report_key.duration,seqarrow.started,arrow_report.started,seqarrow.stopped,arrow_report.stopped,key_resp.stopped,percept_testing_instruction.started,spaceship4.started,key_resp_5.started,percept_testing_instruction_text.started,percept_testing_instruction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,thankyouscreen.started,text.started,key_resp_6.started,thankyouscreen.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/sub102_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.67616819999239,,,,,,,,,,,,,33.67027639999287,33.67616819999239,33.67616819999239,33.87760490000073,34.018470199996955,4,1,0.33852249999472406,None,34.0190864999895,34.025609799995436,34.025609799995436,34.231770899990806,34.43978159999824,34.43406439998944,34.43410299999232,34.43978159999824,,35.13473229999363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.14111589999811,,,,,,,,,,,,,35.13535250000132,35.14111589999811,35.14111589999811,35.34263539999665,35.497742599996855,1,1,0.35251029999926686,None,35.498336399992695,35.503495999990264,35.503495999990264,35.710843799999566,35.919125599990366,35.91355269998894,35.91359939999529,35.919125599990366,,36.613907299994025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.62159039999824,,,,,,,,,,,,,36.6145600000018,36.62159039999824,36.62159039999824,36.82187139999587,37.1437375999958,2,1,0.5163586999988183,None,37.14432649999799,37.15132550000271,37.15132550000271,37.356651299996884,37.564930099993944,37.55908729998919,37.55912619999435,37.564930099993944,,38.2600853999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.267684599995846,,,,,,,,,,,,,38.26084809999156,38.267684599995846,38.267684599995846,38.46794119999686,38.60212939999474,1,1,0.3297230000025593,None,38.6028753999999,38.60929849999957,38.60929849999957,38.81467789999442,39.02293729998928,39.01754109999456,39.01757889999135,39.02293729998928,,39.71803699999873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.725959499992314,,,,,,,,,,,,,39.718679300000076,39.725959499992314,39.725959499992314,39.92621799999324,40.33763489998819,2,1,0.6046857999899657,None,40.33831779999309,40.34442159999162,40.34442159999162,40.55099019999034,40.75916439999128,40.75317699999141,40.753211499992176,40.75916439999128,,41.45399280000129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.46158619999187,,,,,,,,,,,,,41.45476899998903,41.46158619999187,41.46158619999187,41.66205829998944,41.90730710000207,3,1,0.44153010001173243,None,41.90792309999233,41.91343749999942,41.91343749999942,42.12046759999066,42.32859920000192,42.322834499995224,42.32287550000183,42.32859920000192,,43.02326409998932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.02995050000027,,,,,,,,,,,,,43.02402709999296,43.02995050000027,43.02995050000027,43.23140930000227,43.428515999999945,1,1,0.3939345999970101,None,43.42936270000064,43.437884400002076,43.437884400002076,43.6415197999886,43.8501408000011,43.84472039999673,43.84475859999657,43.8501408000011,44.55083680000098,44.54518449999159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.55083680000098,,,,,,,,,,,,,44.54583289999573,44.55083680000098,44.55083680000098,44.75228989998868,44.90730189999158,3,1,0.3501665999938268,None,44.907984099991154,44.91336579999188,44.91336579999188,45.12054289999651,45.32871549999982,45.322982899990166,45.3230254999944,45.32871549999982,,46.023604799993336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.03179090000049,,,,,,,,,,,,,46.02427939999325,46.03179090000049,46.03179090000049,46.23171389999334,46.44911879999563,2,1,0.41409140000178013,None,46.44971819999046,46.45643449999625,46.45643449999625,46.662195899989456,46.87014179999824,46.86465869999665,46.864707000000635,46.87014179999824,47.57184330000018,47.56512549999752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
sequences/sub102_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.57184330000018,,,,,,,,,,,,,47.56553629999689,47.57184330000018,47.57184330000018,47.77367619999859,47.90055089999805,1,1,0.3224673999939114,None,47.90165600000182,47.90953710000031,47.90953710000031,48.113126899988856,48.321380399997,48.315784799997346,48.315864099989994,48.321380399997,,49.016286599988234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub102,percept,1,0,2024-08-07_10h04.40.264,ASRT_percept,2023.2.3,143.29562749524547,2024-08-07 10h05.03.085331 +0800,
